,emotion,top face,scrambling,emotion intensity,left face,gender,correct answer,right face
64,fear,22M_FE_C100_cell10rand_a.jpg,10,100,22M_FE_C100_cell10rand_b.jpg,m,right,22M_FE_C100_cell10rand_a.jpg
65,fear,24M_FE_C100_cell10rand_a.jpg,10,100,24M_FE_C100_cell10rand_b.jpg,m,right,24M_FE_C100_cell10rand_a.jpg
66,happiness,02F_HA_C100_cell10rand_a.jpg,10,100,02F_HA_C100_cell10rand_a.jpg,f,left,02F_HA_C100_cell10rand_b.jpg
67,fear,28M_FE_C100_cell10rand_a.jpg,10,100,28M_FE_C100_cell10rand_a.jpg,m,left,28M_FE_C100_cell10rand_b.jpg
68,happiness,28M_HA_C100_cell10rand_a.jpg,10,100,28M_HA_C100_cell10rand_a.jpg,m,left,28M_HA_C100_cell10rand_b.jpg
69,fear,08F_FE_C100_cell10rand_a.jpg,10,100,08F_FE_C100_cell10rand_a.jpg,f,left,08F_FE_C100_cell10rand_b.jpg
70,fear,26M_FE_C100_cell10rand_a.jpg,10,100,26M_FE_C100_cell10rand_a.jpg,m,left,26M_FE_C100_cell10rand_b.jpg
71,happiness,04F_HA_C100_cell10rand_a.jpg,10,100,04F_HA_C100_cell10rand_b.jpg,f,right,04F_HA_C100_cell10rand_a.jpg
72,happiness,03F_HA_C100_cell10rand_a.jpg,10,100,03F_HA_C100_cell10rand_a.jpg,f,left,03F_HA_C100_cell10rand_b.jpg
73,happiness,08F_HA_C100_cell10rand_a.jpg,10,100,08F_HA_C100_cell10rand_a.jpg,f,left,08F_HA_C100_cell10rand_b.jpg
74,happiness,21M_HA_C100_cell10rand_a.jpg,10,100,21M_HA_C100_cell10rand_a.jpg,m,left,21M_HA_C100_cell10rand_b.jpg
75,fear,25M_FE_C100_cell10rand_a.jpg,10,100,25M_FE_C100_cell10rand_b.jpg,m,right,25M_FE_C100_cell10rand_a.jpg
76,happiness,22M_HA_C100_cell10rand_a.jpg,10,100,22M_HA_C100_cell10rand_a.jpg,m,left,22M_HA_C100_cell10rand_b.jpg
77,fear,07F_FE_C100_cell10rand_a.jpg,10,100,07F_FE_C100_cell10rand_b.jpg,f,right,07F_FE_C100_cell10rand_a.jpg
