,emotion,top face,scrambling,emotion intensity,left face,gender,correct answer,block,right face
33,happiness,21M_HA_C100.jpg,0,40,25M_HA_C040.jpg,m,left,8,22M_FE_C040.jpg
34,happiness,22M_HA_C100.jpg,0,40,23M_FE_C040.jpg,m,right,8,21M_HA_C040.jpg
35,happiness,24M_HA_C100.jpg,0,40,27M_HA_C040.jpg,m,left,8,26M_FE_C040.jpg
36,happiness,23M_HA_C100.jpg,0,40,26M_HA_C040.jpg,m,left,9,28M_FE_C040.jpg
37,happiness,25M_HA_C100.jpg,0,40,24M_FE_C040.jpg,m,right,9,28M_HA_C040.jpg
38,happiness,26M_HA_C100.jpg,0,40,25M_FE_C040.jpg,m,right,9,22M_HA_C040.jpg
39,happiness,28M_HA_C100.jpg,0,40,24M_HA_C040.jpg,m,left,9,27M_FE_C040.jpg
40,fear,22M_FE_C100.jpg,0,40,21M_FE_C040.jpg,m,left,10,28M_HA_C040.jpg
41,fear,23M_FE_C100.jpg,0,40,26M_FE_C040.jpg,m,left,10,27M_HA_C040.jpg
42,fear,25M_FE_C100.jpg,0,40,24M_HA_C040.jpg,m,right,10,23M_FE_C040.jpg
43,fear,27M_FE_C100.jpg,0,40,21M_HA_C040.jpg,m,right,10,24M_FE_C040.jpg
44,fear,24M_FE_C100.jpg,0,40,22M_HA_C040.jpg,m,right,11,25M_FE_C040.jpg
45,fear,26M_FE_C100.jpg,0,40,28M_FE_C040.jpg,m,left,11,23M_HA_C040.jpg
46,fear,28M_FE_C100.jpg,0,40,25M_HA_C040.jpg,m,right,11,22M_FE_C040.jpg
47,fear,21M_FE_C100.jpg,0,40,27M_FE_C040.jpg,m,left,11,26M_HA_C040.jpg
48,happiness,05F_HA_C100.jpg,0,40,02F_HA_C040.jpg,f,left,12,06F_FE_C040.jpg
49,happiness,04F_HA_C100.jpg,0,40,05F_FE_C040.jpg,f,right,12,01F_HA_C040.jpg
50,happiness,03F_HA_C100.jpg,0,40,07F_FE_C040.jpg,f,right,12,04F_HA_C040.jpg
51,happiness,06F_HA_C100.jpg,0,40,08F_HA_C040.jpg,f,left,12,04F_FE_C040.jpg
52,happiness,08F_HA_C100.jpg,0,40,06F_HA_C040.jpg,f,left,13,03F_FE_C040.jpg
53,happiness,07F_HA_C100.jpg,0,40,03F_HA_C040.jpg,f,left,13,08F_FE_C040.jpg
54,happiness,02F_HA_C100.jpg,0,40,01F_FE_C040.jpg,f,right,13,07F_HA_C040.jpg
55,happiness,01F_HA_C100.jpg,0,40,02F_FE_C040.jpg,f,right,13,05F_HA_C040.jpg
56,fear,04F_FE_C100.jpg,0,40,08F_FE_C040.jpg,f,left,14,05F_HA_C040.jpg
57,fear,05F_FE_C100.jpg,0,40,04F_HA_C040.jpg,f,right,14,07F_FE_C040.jpg
58,fear,07F_FE_C100.jpg,0,40,03F_HA_C040.jpg,f,right,14,02F_FE_C040.jpg
59,fear,01F_FE_C100.jpg,0,40,03F_FE_C040.jpg,f,left,14,02F_HA_C040.jpg
60,fear,06F_FE_C100.jpg,0,40,01F_HA_C040.jpg,f,right,15,05F_FE_C040.jpg
61,fear,02F_FE_C100.jpg,0,40,06F_FE_C040.jpg,f,left,15,08F_HA_C040.jpg
62,fear,03F_FE_C100.jpg,0,40,01F_FE_C040.jpg,f,left,15,07F_HA_C040.jpg
63,fear,08F_FE_C100.jpg,0,40,06F_HA_C040.jpg,f,right,15,04F_FE_C040.jpg
